epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.609,1.58468,3.12902,1.33895,0.65487,0.73333,0.71737,0.41263,1.43911,2.30213,1.23359,0.000662222,0.000662222,0.000662222
2,1242.15,1.63464,2.32621,1.42379,0.8618,0.75556,0.80434,0.41213,1.3919,3.10128,1.27,0.00130258,0.00130258,0.00130258
3,1788.34,1.61696,1.7657,1.42807,0.92018,0.57778,0.75423,0.42913,1.47383,1.4281,1.38391,0.00191653,0.00191653,0.00191653
4,2319.44,1.58039,1.50646,1.38957,0.64315,0.6,0.66758,0.40121,1.44328,1.44521,1.28178,0.0018812,0.0018812,0.0018812
5,2889.79,1.58242,1.32898,1.4127,0.93819,0.6748,0.84517,0.44177,1.39107,1.18872,1.32819,0.0018416,0.0018416,0.0018416
6,3472.8,1.5302,1.26805,1.35864,0.87582,0.82222,0.90071,0.47868,1.4997,1.14116,1.31424,0.001802,0.001802,0.001802
7,4089.39,1.50764,1.18782,1.35477,0.89738,0.84444,0.91038,0.51195,1.33089,0.91895,1.26445,0.0017624,0.0017624,0.0017624
8,4828.4,1.47367,1.14864,1.34784,0.87353,0.8,0.86364,0.49586,1.33235,1.02609,1.20258,0.0017228,0.0017228,0.0017228
9,5531.41,1.45361,1.07616,1.31761,0.84543,0.85092,0.89221,0.50193,1.37771,0.90083,1.28608,0.0016832,0.0016832,0.0016832
10,6225.65,1.47598,1.06636,1.30326,0.85728,0.88889,0.92098,0.52829,1.30489,0.80799,1.23821,0.0016436,0.0016436,0.0016436
11,6766.24,1.41627,1.04598,1.27638,0.90675,0.86437,0.89373,0.52986,1.35602,0.98623,1.26976,0.001604,0.001604,0.001604
12,7304.05,1.3974,1.01436,1.28604,0.78807,0.84444,0.88772,0.52227,1.4249,0.89246,1.28128,0.0015644,0.0015644,0.0015644
13,7880.41,1.37339,1.00605,1.28989,0.87213,0.90946,0.90935,0.5335,1.26157,0.79799,1.19009,0.0015248,0.0015248,0.0015248
14,8416.85,1.35157,0.95867,1.26758,0.86095,0.8,0.88789,0.55077,1.29897,0.81231,1.19998,0.0014852,0.0014852,0.0014852
15,8916.67,1.34086,0.90734,1.25137,0.88705,0.88889,0.95765,0.56035,1.34034,0.78359,1.26105,0.0014456,0.0014456,0.0014456
16,9417.8,1.36856,0.93462,1.2674,0.88231,0.82222,0.89208,0.53253,1.32289,0.84374,1.23745,0.001406,0.001406,0.001406
17,9922.36,1.31561,0.85734,1.22022,0.91618,0.82222,0.93491,0.53898,1.30995,0.75227,1.2489,0.0013664,0.0013664,0.0013664
18,10420.9,1.3332,0.86956,1.23873,0.88924,0.95556,0.9355,0.52376,1.32177,0.79143,1.20746,0.0013268,0.0013268,0.0013268
19,10921.2,1.30325,0.87491,1.21908,0.87877,0.88889,0.90785,0.53832,1.37928,0.74494,1.2444,0.0012872,0.0012872,0.0012872
20,11427.6,1.28662,0.82914,1.23618,0.85843,0.8,0.89485,0.52057,1.3803,0.71712,1.24117,0.0012476,0.0012476,0.0012476
21,12015.4,1.23813,0.7947,1.21077,0.81982,0.80903,0.89657,0.51718,1.40484,0.7104,1.27731,0.001208,0.001208,0.001208
22,12711.4,1.24143,0.8151,1.21055,0.91966,0.88889,0.90603,0.54965,1.29472,0.68054,1.22785,0.0011684,0.0011684,0.0011684
23,13407.1,1.21332,0.76761,1.18403,0.8455,0.93333,0.91405,0.53271,1.35437,0.72325,1.24479,0.0011288,0.0011288,0.0011288
24,14098.1,1.23705,0.77944,1.1987,0.89511,0.75867,0.85483,0.49819,1.43472,0.74337,1.28511,0.0010892,0.0010892,0.0010892
25,14660.6,1.23677,0.78695,1.19594,0.82284,0.84444,0.90865,0.53774,1.35213,0.72142,1.23651,0.0010496,0.0010496,0.0010496
26,15169.1,1.22445,0.76785,1.19437,0.8902,0.91111,0.92993,0.54698,1.3198,0.6766,1.20576,0.00101,0.00101,0.00101
27,15665.1,1.18101,0.71576,1.17189,0.95542,0.88889,0.95781,0.55528,1.31349,0.63343,1.23775,0.0009704,0.0009704,0.0009704
28,16157.5,1.14806,0.7113,1.15679,0.88819,0.88273,0.90956,0.55956,1.34289,0.67858,1.21649,0.0009308,0.0009308,0.0009308
29,16647.1,1.14665,0.70664,1.16583,0.82672,0.86667,0.87795,0.5355,1.39256,0.69714,1.26733,0.0008912,0.0008912,0.0008912
30,17145.5,1.14066,0.70829,1.15092,0.91223,0.86667,0.9551,0.55985,1.36289,0.67688,1.2217,0.0008516,0.0008516,0.0008516
